"id","name","alias","address","zipcode","location","state","country","founded","phone","fax","email","website","president","manager","logo_big","logo_middle","logo_small","standard_playground","notes","extended","ordering","checked_out","checked_out_time","modified","modified_by","dissolved","asset_id"
226,"DİYANET GENÇLİK SPOR","diyanet-genclik-spor","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",226,0,0000-00-00 00:00:00,2023-11-15 06:22:08,485,"",3467
227,"ARENA SPOR","arena-spor","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",227,0,0000-00-00 00:00:00,,,"",3774
228,"AYDINPINAR AKADEMİ SPOR","aydinpinar-akademi-spor","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",228,0,0000-00-00 00:00:00,,,"",3776
229,"DENİZLİ DOĞAN SPOR","deni-zli-dogan-spor","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",229,0,0000-00-00 00:00:00,,,"",3778
230,"GAZİANTEP BELEDİYE SPOR","gazi-antep-beledi-ye-spor","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",230,0,0000-00-00 00:00:00,,,"",3780
231,"TÜRK SİLAHLI KUVVETLERİ GÜCÜ","tuerk-si-lahli-kuvvetleri-guecue","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",231,0,0000-00-00 00:00:00,,,"",3782
232,"SULTANGAZİ BELEDİYESİ GSK","sultangazi-beledi-yesi-gsk","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",232,0,0000-00-00 00:00:00,,,"",3794
233,"YILDIZ RAKETLER SPOR","yildiz-raketler-spor","","","","","TUR","","","","","","","","images/com_joomleague/database/clubs/large/large_yildiz_raketler.png","images/com_joomleague/database/clubs/medium/medium_yildiz_raketler.png","images/com_joomleague/database/clubs/small/small_yildiz_raketler.png",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",233,0,0000-00-00 00:00:00,2025-02-17 11:09:35,485,"",10058
234,"HENDEK OLİMPİK SPOR","hendek-oli-mpi-k-spor","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",234,0,0000-00-00 00:00:00,,,"",3979
235,"KASTAMONU ORMANSPOR","kastamonu-ormanspor","","","","","TUR","","","","","","","","images/com_joomleague/database/placeholders/placeholder_150.png","images/com_joomleague/database/placeholders/placeholder_50.png","images/com_joomleague/database/placeholders/placeholder_small.gif",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",235,0,0000-00-00 00:00:00,,,"",3981
